Katastrofalstart på festival;https://ekstrabladet.dk/musik/koncert_anmeldelser/katastrofal-start-paa-festival/9779650
Legende vanvittigi København;https://ekstrabladet.dk/musik/koncert_anmeldelser/legende-vanvittig-i-koebenhavn/9774595
Harry Stylesmishandlet i Horsens;https://ekstrabladet.dk/musik/koncert_anmeldelser/harry-styles-mishandlet-i-horsens/9761801
Bundløs farcei Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/bundloes-farce-i-royal-arena/9746499
Kønsløs divai Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/koensloes-diva-i-royal-arena/9741997
Tunge i røven:Kaos før Parken;https://ekstrabladet.dk/musik/koncert_anmeldelser/tunge-i-roeven-kaos-foer-parken/9739072
Gigastjerne falliti Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/gigastjerne-fallit-i-royal-arena/9737444
Legende helt sorti Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/legende-helt-sort-i-royal-arena/9720298
Gigant helt væki Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/gigant-helt-vaek-i-royal-arena/9703205
Platugle: Sygjoke i Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/platugle-syg-joke-i-royal-arena/9674383
Brandt helt af:Sverige i flammer;https://ekstrabladet.dk/musik/koncert_anmeldelser/brandt-helt-af-sverige-i-flammer/9661262
Fuck! Helt tilgrin i Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/fuck-helt-til-grin-i-royal-arena/9658168
Legende gårgrassat på DR;https://ekstrabladet.dk/musik/koncert_anmeldelser/legende-gaar-grassat-paa-dr/9655811
Falleret popklovni Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/falleret-popklovn-i-royal-arena/9653238
Vildmænd amoki København;https://ekstrabladet.dk/musik/koncert_anmeldelser/vildmaend-amok-i-koebenhavn/9646723
Ustyrlig: Røvfedi Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/ustyrlig-roevfed-i-royal-arena/9641126
Blondeambitioner på DR;https://ekstrabladet.dk/musik/koncert_anmeldelser/blonde-ambitioner-paa-dr/9620572
Simon Kvammskal holde kæft;https://ekstrabladet.dk/musik/koncert_anmeldelser/simon-kvamm-skal-holde-kaeft/9566984
Blærerøv: Detskete bare ikke;https://ekstrabladet.dk/musik/koncert_anmeldelser/blaereroev-det-skete-bare-ikke/9533478
Utroligt blodbadpå Christiania;https://ekstrabladet.dk/musik/koncert_anmeldelser/utroligt-blodbad-paa-christiania/9530397
Galning sluppetløs i Danmark;https://ekstrabladet.dk/musik/koncert_anmeldelser/galning-sluppet-loes-i-danmark/9527160
Himmelråbendei Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/himmelraabende-i-royal-arena/9511148
Røvplasker iRoyal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/roevplasker-i-royal-arena/9510360
Historisk røvturi Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/historisk-roevtur-i-royal-arena/9490816
Guddommeligi Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/guddommelig-i-royal-arena/9471104
Sort: Miserabelti Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/sort-miserabelt-i-royal-arena/9470238
Rockikon bizari Royal Arena;https://ekstrabladet.dk/musik/koncert_anmeldelser/rockikon-bizar-i-royal-arena/9449658
Sygt gode:Konger for freaks;https://ekstrabladet.dk/musik/koncert_anmeldelser/sygt-gode-konger-for-freaks/9448002
